id,sourceSheet,system,type,materialA,materialB,facet,supercell,strain,adsorbate,site,method,finalEnergy,finalEnergyValue,energyType,calculatedEnergy,relativeEnergy,formula,trend,conclusion,reference,notes,poscarFile
"Co on pt111-229","Co on pt111","Co_2x2_on_Pt_2x2","Metal on metal surface","Co","Pt","","Co_2x2_on_Pt_2x2","TBD","Co on Pt","Interface / registry TBD","vdW-DF, FM, U=2.5","-58.138781 eV",-58.13878148,"Formation / interface energy TBD","","7.000771 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 229; original path: Co_on_Pt111/Co_2x2_on_Pt_2x2/vdD-DF/FM/U2.5","poscars/Co_2x2_on_Pt_2x2.POSCAR"
"Co on pt111-230","Co on pt111","Co_2x2_on_Pt_2x2","Metal on metal surface","Co","Pt","","Co_2x2_on_Pt_2x2","TBD","Co on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-57.150150 eV",-57.15014954,"Formation / interface energy TBD","","7.989403 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 230; original path: Co_on_Pt111/Co_2x2_on_Pt_2x2/vdD-DF/FM/U3.0","poscars/Co_2x2_on_Pt_2x2.POSCAR"
"Co on pt111-231","Co on pt111","Co_2x2_on_Pt_2x2","Metal on metal surface","Co","Pt","","Co_2x2_on_Pt_2x2","TBD","Co on Pt","Interface / registry TBD","vdW-DF, FM, U=3.3","-56.590040 eV",-56.59003967,"Formation / interface energy TBD","","8.549513 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 231; original path: Co_on_Pt111/Co_2x2_on_Pt_2x2/vdD-DF/FM/U3.3","poscars/Co_2x2_on_Pt_2x2.POSCAR"
"Co on pt111-232","Co on pt111","Co_2x2_on_Pt_2x2","Metal on metal surface","Co","Pt","","Co_2x2_on_Pt_2x2","TBD","Co on Pt","Interface / registry TBD","vdW-DF, FM, U=3.5","-56.228681 eV",-56.22868118,"Formation / interface energy TBD","","8.910871 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 232; original path: Co_on_Pt111/Co_2x2_on_Pt_2x2/vdD-DF/FM/U3.5","poscars/Co_2x2_on_Pt_2x2.POSCAR"
"Co on pt111-233","Co on pt111","Co_2x2_on_Pt111_root3","Metal on metal surface","Co","Pt","Pt(111)","Co_2x2_on_Pt111_root3","TBD","Co on Pt","Interface / registry TBD","vdW-DF, FM","-53.771443 eV",-53.77144261,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 233; original path: Co_on_Pt111/Co_2x2_on_Pt111_root3/vdW-DF/FM/U0.0","poscars/Co_2x2_on_Pt111_root3.POSCAR"
"Fe on Pt100-2","Fe on Pt100","FeO_8x2_on_Pt100_9x2","Metal/oxide/hydroxide interface","FeO","Pt100","Pt(100)","FeO_8x2_on_Pt100_9x2","TBD","FeO on Pt100","Interface / registry TBD","vdW-DF, AFM, U=2.5","-1477.868714 eV",-1477.86871354,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Fe on Pt100","Imported from Excel row 2; original path: Fe_on_Pt100/FeO_8x2_on_Pt100_9x2/vdW-DF/AFM/U2.5/9x8","poscars/FeO_8x2_on_Pt100_9x2.POSCAR"
"Fe on Pt100-3","Fe on Pt100","FeO_8x2_on_Pt100_9x2","Metal/oxide/hydroxide interface","FeO","Pt100","Pt(100)","FeO_8x2_on_Pt100_9x2","TBD","FeO on Pt100","Interface / registry TBD","vdW-DF, AFM, U=2.5","-1083.548373 eV",-1083.5483728,"Formation / interface energy TBD","","394.320341 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Fe on Pt100","Imported from Excel row 3; original path: Fe_on_Pt100/FeO_8x2_on_Pt100_9x2/vdW-DF/AFM/U2.5/9x6","poscars/FeO_8x2_on_Pt100_9x2.POSCAR"
"Fe on Pt100-4","Fe on Pt100","FeO_19x2_on_Pt100_20x2","Metal/oxide/hydroxide interface","FeO","Pt100","Pt(100)","FeO_19x2_on_Pt100_20x2","TBD","FeO on Pt100","Interface / registry TBD","vdW-DF, AFM, U=2.5","-907.608471 eV",-907.60847148,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Fe on Pt100","Imported from Excel row 4; original path: Fe_on_Pt100/FeO_19x2_on_Pt100_20x2.tar.bz2::FeO_19x2_on_Pt100_20x2/vdW-DF/AFM/U2.5","poscars/FeO_19x2_on_Pt100_20x2.POSCAR"
"Fe on Pt100-5","Fe on Pt100","FeO_8x2_on_Pt100_9x2","Metal/oxide/hydroxide interface","FeO","Pt100","Pt(100)","FeO_8x2_on_Pt100_9x2","TBD","FeO on Pt100","Interface / registry TBD","vdW-DF, AFM, U=2.5","-688.338575 eV",-688.33857482,"Formation / interface energy TBD","","789.530139 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Fe on Pt100","Imported from Excel row 5; original path: Fe_on_Pt100/FeO_8x2_on_Pt100_9x2/vdW-DF/AFM/U2.5/9x4","poscars/FeO_8x2_on_Pt100_9x2.POSCAR"
"Fe on Pt100-6","Fe on Pt100","FeO_12x2_on_Pt100_13x2","Metal/oxide/hydroxide interface","FeO","Pt100","Pt(100)","FeO_12x2_on_Pt100_13x2","TBD","FeO on Pt100","Interface / registry TBD","vdW-DF, AFM, U=2.5","-582.139014 eV",-582.13901414,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Fe on Pt100","Imported from Excel row 6; original path: Fe_on_Pt100/FeO_12x2_on_Pt100_13x2.tar.bz2::FeO_12x2_on_Pt100_13x2/vdW-DF/AFM/U2.5","poscars/FeO_12x2_on_Pt100_13x2.POSCAR"
"Fe on Pt100-7","Fe on Pt100","FeO_9x2_on_Pt100_10x2","Metal/oxide/hydroxide interface","FeO","Pt100","Pt(100)","FeO_9x2_on_Pt100_10x2","TBD","FeO on Pt100","Interface / registry TBD","vdW-DF, AFM, U=2.5","-442.522298 eV",-442.52229825,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Fe on Pt100","Imported from Excel row 7; original path: Fe_on_Pt100/FeO_9x2_on_Pt100_10x2.tar.bz2::FeO_9x2_on_Pt100_10x2/vdW-DF/AFM/U2.5","poscars/FeO_9x2_on_Pt100_10x2.POSCAR"
"Fe on Pt100-8","Fe on Pt100","FeO_9x2_on_Pt100_10x2","Metal/oxide/hydroxide interface","FeO","Pt100","Pt(100)","FeO_9x2_on_Pt100_10x2","TBD","FeO on Pt100","Interface / registry TBD","vdW-DF, FM, U=2.5","-439.464160 eV",-439.46416012,"Formation / interface energy TBD","","3.058138 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Fe on Pt100","Imported from Excel row 8; original path: Fe_on_Pt100/FeO_9x2_on_Pt100_10x2.tar.bz2::FeO_9x2_on_Pt100_10x2/vdW-DF/FM/U2.5","poscars/FeO_9x2_on_Pt100_10x2.POSCAR"
"Fe on Pt100-9","Fe on Pt100","FeO_9x2_on_Pt100_10x2","Metal/oxide/hydroxide interface","FeO","Pt100","Pt(100)","FeO_9x2_on_Pt100_10x2","TBD","FeO on Pt100","Interface / registry TBD","vdW-DF, AFM, U=3","-438.326009 eV",-438.32600942,"Formation / interface energy TBD","","4.196289 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Fe on Pt100","Imported from Excel row 9; original path: Fe_on_Pt100/FeO_9x2_on_Pt100_10x2.tar.bz2::FeO_9x2_on_Pt100_10x2/vdW-DF/AFM/3.0","poscars/FeO_9x2_on_Pt100_10x2.POSCAR"
"Fe on Pt100-10","Fe on Pt100","FeO_8x2_on_Pt100_9x2","Metal/oxide/hydroxide interface","FeO","Pt100","Pt(100)","FeO_8x2_on_Pt100_9x2","TBD","FeO on Pt100","Interface / registry TBD","vdW-DF, AFM, U=2.5","-396.219572 eV",-396.2195722,"Formation / interface energy TBD","","1081.649141 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Fe on Pt100","Imported from Excel row 10; original path: Fe_on_Pt100/FeO_8x2_on_Pt100_9x2/vdW-DF/AFM/U2.5","poscars/FeO_8x2_on_Pt100_9x2.POSCAR"
"Fe on Pt100-11","Fe on Pt100","FeO_8x2_on_Pt100_9x2","Metal/oxide/hydroxide interface","FeO","Pt100","Pt(100)","FeO_8x2_on_Pt100_9x2","TBD","FeO on Pt100","Interface / registry TBD","vdW-DF, AFM, U=3","-392.515996 eV",-392.51599593,"Formation / interface energy TBD","","1085.352718 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Fe on Pt100","Imported from Excel row 11; original path: Fe_on_Pt100/FeO_8x2_on_Pt100_9x2/vdW-DF/AFM/U3.0","poscars/FeO_8x2_on_Pt100_9x2.POSCAR"
"Fe on Pt100-12","Fe on Pt100","FeO_7x2_on_Pt100_8x2","Metal/oxide/hydroxide interface","FeO","Pt100","Pt(100)","FeO_7x2_on_Pt100_8x2","TBD","FeO on Pt100","Interface / registry TBD","vdW-DF, AFM, U=2.5","-348.450974 eV",-348.45097449,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Fe on Pt100","Imported from Excel row 12; original path: Fe_on_Pt100/FeO_7x2_on_Pt100_8x2.tar.bz2::FeO_7x2_on_Pt100_8x2/vdW-DF/AFM/U2.5","poscars/FeO_7x2_on_Pt100_8x2.POSCAR"
"Fe on Pt100-13","Fe on Pt100","FeO_6x2_on_Pt100_7x2","Metal/oxide/hydroxide interface","FeO","Pt100","Pt(100)","FeO_6x2_on_Pt100_7x2","TBD","FeO on Pt100","Interface / registry TBD","vdW-DF, AFM, U=2.5","-302.393964 eV",-302.39396403,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Fe on Pt100","Imported from Excel row 13; original path: Fe_on_Pt100/FeO_6x2_on_Pt100_7x2.tar.bz2::FeO_6x2_on_Pt100_7x2/vdW-DF/AFM/U2.5","poscars/FeO_6x2_on_Pt100_7x2.POSCAR"
"Fe on Pt100-14","Fe on Pt100","FeO_5x2_on_Pt100_6x2","Metal/oxide/hydroxide interface","FeO","Pt100","Pt(100)","FeO_5x2_on_Pt100_6x2","TBD","FeO on Pt100","Interface / registry TBD","vdW-DF, AFM, U=2.5","-255.357165 eV",-255.35716507,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Fe on Pt100","Imported from Excel row 14; original path: Fe_on_Pt100/FeO_5x2_on_Pt100_6x2.tar.bz2::FeO_5x2_on_Pt100_6x2/vdW-DF/AFM/U2.5","poscars/FeO_5x2_on_Pt100_6x2.POSCAR"
"Fe on Pt100-15","Fe on Pt100","FeO_1x2_on_Pt100_1x2","Metal/oxide/hydroxide interface","FeO","Pt100","Pt(100)","FeO_1x2_on_Pt100_1x2","TBD","FeO on Pt100","Interface / registry TBD","vdW-DF, AFM, U=2.5","-46.329691 eV",-46.3296908,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Fe on Pt100","Imported from Excel row 15; original path: Fe_on_Pt100/FeO_1x2_on_Pt100_1x2.tar.bz2::FeO_1x2_on_Pt100_1x2/vdW-DF/AFM/U2.5","poscars/FeO_1x2_on_Pt100_1x2.POSCAR"
"Fe on Pt100-16","Fe on Pt100","FeO_1x2_on_Pt100_1x2","Metal/oxide/hydroxide interface","FeO","Pt100","Pt(100)","FeO_1x2_on_Pt100_1x2","TBD","FeO on Pt100","Interface / registry TBD","vdW-DF, AFM, U=2.5","-46.250591 eV",-46.25059124,"Formation / interface energy TBD","","0.079100 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Fe on Pt100","Imported from Excel row 16; original path: Fe_on_Pt100/FeO_1x2_on_Pt100_1x2.tar.bz2::FeO_1x2_on_Pt100_1x2/vdW-DF/AFM/U2.5/shift_y+","poscars/FeO_1x2_on_Pt100_1x2.POSCAR"
"CuZnOH111-2","CuZnOH111","ZnOH_root28_on_Cu111_root39","Metal/oxide/hydroxide interface","ZnOH","Cu","Cu(111)","ZnOH_root28_on_Cu111_root39","TBD","ZnOH on Cu","Interface / registry TBD","vdW-DF","-391.834659 eV",-391.83465931,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","CuZnOH111","Imported from Excel row 2; original path: CuZnOH111/ZnOH_root28_on_Cu111_root39/vdW-DF/U0.0","poscars/ZnOH_root28_on_Cu111_root39.POSCAR"
"CuZnOH111-3","CuZnOH111","ZnOH_root16_on_Cu111_root27","Metal/oxide/hydroxide interface","ZnOH","Cu","Cu(111)","ZnOH_root16_on_Cu111_root27","TBD","ZnOH on Cu","Interface / registry TBD","vdW-DF","-240.488491 eV",-240.48849072,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","CuZnOH111","Imported from Excel row 3; original path: CuZnOH111/ZnOH_root16_on_Cu111_root27/vdW-DF/U0.0","poscars/ZnOH_root16_on_Cu111_root27.POSCAR"
"CuZnOH111-4","CuZnOH111","ZnOH_root16_on_Cu111_root25","Metal/oxide/hydroxide interface","ZnOH","Cu","Cu(111)","ZnOH_root16_on_Cu111_root25","TBD","ZnOH on Cu","Interface / registry TBD","vdW-DF","-234.199917 eV",-234.19991714,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","CuZnOH111","Imported from Excel row 4; original path: CuZnOH111/ZnOH_root16_on_Cu111_root25/vdW-DF/U0.0","poscars/ZnOH_root16_on_Cu111_root25.POSCAR"
"CuZnOH111-5","CuZnOH111","ZnO_root16_on_Cu111_root27","Metal/oxide/hydroxide interface","ZnO","Cu","Cu(111)","ZnO_root16_on_Cu111_root27","TBD","ZnO on Cu","Interface / registry TBD","vdW-DF","-177.320644 eV",-177.32064435,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","CuZnOH111","Imported from Excel row 5; original path: CuZnOH111/ZnO_root16_on_Cu111_root27/vdW-DF/U0.0","poscars/ZnO_root16_on_Cu111_root27.POSCAR"
"CuZnOH111-6","CuZnOH111","ZnO_root16_on_Cu111_root25","Metal/oxide/hydroxide interface","ZnO","Cu","Cu(111)","ZnO_root16_on_Cu111_root25","TBD","ZnO on Cu","Interface / registry TBD","vdW-DF","-170.314469 eV",-170.31446875,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","CuZnOH111","Imported from Excel row 6; original path: CuZnOH111/ZnO_root16_on_Cu111_root25/vdW-DF/U0.0","poscars/ZnO_root16_on_Cu111_root25.POSCAR"
"CuZnOH111-7","CuZnOH111","ZnOH_root9_on_Cu111_root13","Metal/oxide/hydroxide interface","ZnOH","Cu","Cu(111)","ZnOH_root9_on_Cu111_root13","TBD","ZnOH on Cu","Interface / registry TBD","vdW-DF","-127.925114 eV",-127.92511385,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","CuZnOH111","Imported from Excel row 7; original path: CuZnOH111/ZnOH_root9_on_Cu111_root13/vdW-DF/U0.0","poscars/ZnOH_root9_on_Cu111_root13.POSCAR"
"CuZnOH111-8","CuZnOH111","ZnOH_root7_on_Cu111_root13","Metal/oxide/hydroxide interface","ZnOH","Cu","Cu(111)","ZnOH_root7_on_Cu111_root13","TBD","ZnOH on Cu","Interface / registry TBD","vdW-DF","-108.397902 eV",-108.39790166,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","CuZnOH111","Imported from Excel row 8; original path: CuZnOH111/ZnOH_root7_on_Cu111_root13/vdW-DF/U0.0","poscars/ZnOH_root7_on_Cu111_root13.POSCAR"
"CuZnOH111-9","CuZnOH111","ZnOH_sqrt3_on_Cu111_2x2","Metal/oxide/hydroxide interface","ZnOH","Cu","Cu(111)","ZnOH_sqrt3_on_Cu111_2x2","TBD","ZnOH on Cu","Interface / registry TBD","vdW-DF","-41.194705 eV",-41.19470453,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","CuZnOH111","Imported from Excel row 9; original path: CuZnOH111/ZnOH_sqrt3_on_Cu111_2x2/vdW-DF/U0.0","poscars/ZnOH_sqrt3_on_Cu111_2x2.POSCAR"
"Mn on Pt111-2","Mn on Pt111","MnO2H2_root28_on_Pt111_root39","Metal/oxide/hydroxide interface","MnO2H2","Pt","Pt(111)","MnO2H2_root28_on_Pt111_root39","TBD","MnO2H2 on Pt","Interface / registry TBD","vdW-DF, FM, U=3.5","-1240.105946 eV",-1240.10594586,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Mn on Pt111","Imported from Excel row 2; original path: Mn_on_Pt111/MnO2H2_root28_on_Pt111_root39/vdW-DF/FM/U3.5","poscars/MnO2H2_root28_on_Pt111_root39.POSCAR"
"Mn on Pt111-3","Mn on Pt111","MnOOH_root28_on_Pt111_root39","Metal/oxide/hydroxide interface","MnOOH","Pt","Pt(111)","MnOOH_root28_on_Pt111_root39","TBD","MnOOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3.5","-1116.718627 eV",-1116.71862705,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Mn on Pt111","Imported from Excel row 3; original path: Mn_on_Pt111/MnOOH_root28_on_Pt111_root39/vdW-DF/FM/U3.5","poscars/MnOOH_root28_on_Pt111_root39.POSCAR"
"Mn on Pt111-4","Mn on Pt111","MnO2_root28_on_Pt111_root39","Metal/oxide/hydroxide interface","MnO2","Pt","Pt(111)","MnO2_root28_on_Pt111_root39","TBD","MnO2 on Pt","Interface / registry TBD","vdW-DF, FM, U=3.5","-982.832466 eV",-982.83246582,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Mn on Pt111","Imported from Excel row 4; original path: Mn_on_Pt111/MnO2_root28_on_Pt111_root39/vdW-DF/FM/U3.5","poscars/MnO2_root28_on_Pt111_root39.POSCAR"
"Mn on Pt111-5","Mn on Pt111","MnOH_root28_on_Pt111_root39","Metal/oxide/hydroxide interface","MnOH","Pt","Pt(111)","MnOH_root28_on_Pt111_root39","TBD","MnOH on Pt","Interface / registry TBD","vdW-DF, AFM, U=2.5","-957.544981 eV",-957.54498101,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Mn on Pt111","Imported from Excel row 5; original path: Mn_on_Pt111/MnOH_root28_on_Pt111_root39/vdW-DF/AFM/U2.5","poscars/MnOH_root28_on_Pt111_root39.POSCAR"
"Mn on Pt111-6","Mn on Pt111","MnOH_root28_on_Pt111_root39","Metal/oxide/hydroxide interface","MnOH","Pt","Pt(111)","MnOH_root28_on_Pt111_root39","TBD","MnOH on Pt","Interface / registry TBD","vdW-DF, AFM, U=3","-953.676056 eV",-953.67605555,"Formation / interface energy TBD","","3.868925 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Mn on Pt111","Imported from Excel row 6; original path: Mn_on_Pt111/MnOH_root28_on_Pt111_root39/vdW-DF/AFM/U3.0","poscars/MnOH_root28_on_Pt111_root39.POSCAR"
"Mn on Pt111-7","Mn on Pt111","MnOH_root28_on_Pt111_root39","Metal/oxide/hydroxide interface","MnOH","Pt","Pt(111)","MnOH_root28_on_Pt111_root39","TBD","MnOH on Pt","Interface / registry TBD","vdW-DF, AFM, U=3.5","-950.001717 eV",-950.00171703,"Formation / interface energy TBD","","7.543264 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Mn on Pt111","Imported from Excel row 7; original path: Mn_on_Pt111/MnOH_root28_on_Pt111_root39/vdW-DF/AFM/U3.5","poscars/MnOH_root28_on_Pt111_root39.POSCAR"
"Mn on Pt111-8","Mn on Pt111","MnO2_root27_on_Pt111_root31","Metal/oxide/hydroxide interface","MnO2","Pt","Pt(111)","MnO2_root27_on_Pt111_root31","TBD","MnO2 on Pt","Interface / registry TBD","vdW-DF, FM, U=3.5","-873.399501 eV",-873.39950117,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Mn on Pt111","Imported from Excel row 8; original path: Mn_on_Pt111/MnO2_root27_on_Pt111_root31/vdW-DF/FM/U3.5","poscars/MnO2_root27_on_Pt111_root31.POSCAR"
"Mn on Pt111-9","Mn on Pt111","MnO2_root27_on_Pt111_root28","Metal/oxide/hydroxide interface","MnO2","Pt","Pt(111)","MnO2_root27_on_Pt111_root28","TBD","MnO2 on Pt","Interface / registry TBD","vdW-DF, FM, U=3.5","-839.598416 eV",-839.59841553,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Mn on Pt111","Imported from Excel row 9; original path: Mn_on_Pt111/MnO2_root27_on_Pt111_root28/vdW-DF/FM/U3.5","poscars/MnO2_root27_on_Pt111_root28.POSCAR"
"Mn on Pt111-10","Mn on Pt111","MnO2_5x5_on_Pt111_root28","Metal/oxide/hydroxide interface","MnO2","Pt","Pt(111)","MnO2_5x5_on_Pt111_root28","TBD","MnO2 on Pt","Interface / registry TBD","vdW-DF, FM, U=3.5","-801.796044 eV",-801.7960443,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Mn on Pt111","Imported from Excel row 10; original path: Mn_on_Pt111/MnO2_5x5_on_Pt111_root28/vdW-DF/FM/U3.5","poscars/MnO2_5x5_on_Pt111_root28.POSCAR"
"Mn on Pt111-11","Mn on Pt111","MnO2H2_4x4_on_Pt111_5x5","Metal/oxide/hydroxide interface","MnO2H2","Pt","Pt(111)","MnO2H2_4x4_on_Pt111_5x5","TBD","MnO2H2 on Pt","Interface / registry TBD","vdW-DF, FM, U=3.5","-738.792902 eV",-738.79290205,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Mn on Pt111","Imported from Excel row 11; original path: Mn_on_Pt111/MnO2H2_4x4_on_Pt111_5x5/vdW-DF/FM/U3.5","poscars/MnO2H2_4x4_on_Pt111_5x5.POSCAR"
"Mn on Pt111-12","Mn on Pt111","MnOH_4x4_on_Pt111_root27","Metal/oxide/hydroxide interface","MnOH","Pt","Pt(111)","MnOH_4x4_on_Pt111_root27","TBD","MnOH on Pt","Interface / registry TBD","vdW-DF, AFM, U=3.5","-597.070339 eV",-597.07033896,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Mn on Pt111","Imported from Excel row 12; original path: Mn_on_Pt111/MnOH_4x4_on_Pt111_root27/vdW-DF/AFM/U3.5","poscars/MnOH_4x4_on_Pt111_root27.POSCAR"
"Mn on Pt111-13","Mn on Pt111","MnOOH_4x4_on_Pt111_root19","Metal/oxide/hydroxide interface","MnOOH","Pt","Pt(111)","MnOOH_4x4_on_Pt111_root19","TBD","MnOOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3.5","-595.577399 eV",-595.57739903,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Mn on Pt111","Imported from Excel row 13; original path: Mn_on_Pt111/MnOOH_4x4_on_Pt111_root19/vdW-DF/FM/U3.5","poscars/MnOOH_4x4_on_Pt111_root19.POSCAR"
"Mn on Pt111-14","Mn on Pt111","MnOH_4x4_on_Pt111_5x5","Metal/oxide/hydroxide interface","MnOH","Pt","Pt(111)","MnOH_4x4_on_Pt111_5x5","TBD","MnOH on Pt","Interface / registry TBD","vdW-DF, AFM, U=3.5","-574.600887 eV",-574.60088698,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Mn on Pt111","Imported from Excel row 14; original path: Mn_on_Pt111/MnOH_4x4_on_Pt111_5x5/vdW-DF/AFM/U3.5","poscars/MnOH_4x4_on_Pt111_5x5.POSCAR"
"Mn on Pt111-15","Mn on Pt111","MnO2_4x4_on_Pt111_root19","Metal/oxide/hydroxide interface","MnO2","Pt","Pt(111)","MnO2_4x4_on_Pt111_root19","TBD","MnO2 on Pt","Interface / registry TBD","vdW-DF, FM, U=3.5","-525.574321 eV",-525.57432081,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Mn on Pt111","Imported from Excel row 15; original path: Mn_on_Pt111/MnO2_4x4_on_Pt111_root19/vdW-DF/FM/U3.5","poscars/MnO2_4x4_on_Pt111_root19.POSCAR"
